trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.1543033499620919, 'a': 0.5}",20,0,-0.7379650901199364,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
43,False,"{'e': 0.15249857033260467, 'a': 0.5}",25,15,-30.593517120483003,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'e': 0.15075567228888181, 'a': 0.5}",20,0,-57.66104771586189,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
45,False,"{'e': 0.14907119849998599, 'a': 0.5}",25,0,21.42051591918307,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
46,False,"{'e': 0.14744195615489714, 'a': 0.5}",30,0,-18.31801035207986,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
47,False,"{'e': 0.14586499149789456, 'a': 0.5}",20,13,-51.270209739675536,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
48,False,"{'e': 0.14433756729740646, 'a': 0.5}",20,8,8.257813710416084,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'e': 0.14285714285714285, 'a': 0.5}",30,12,5.71450527675529,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'e': 0.1414213562373095, 'a': 0.5}",25,17,18.18029146281429,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'e': 0.14002800840280097, 'a': 0.5}",20,13,10.137639500788692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'e': 0.1386750490563073, 'a': 0.5}",25,0,-45.738696536360756,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
53,False,"{'e': 0.13736056394868904, 'a': 0.5}",20,0,-54.337212091142014,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
54,False,"{'e': 0.13608276348795434, 'a': 0.5}",20,0,-37.613466511546896,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
55,False,"{'e': 0.13483997249264842, 'a': 0.5}",30,10,18.142093100893995,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'e': 0.1336306209562122, 'a': 0.5}",20,1,-1.2449097953887238,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
57,False,"{'e': 0.13245323570650439, 'a': 0.5}",20,3,-26.370151563905466,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
58,False,"{'e': 0.13130643285972254, 'a': 0.5}",30,18,6.677898046160182,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'e': 0.13018891098082389, 'a': 0.5}",30,1,-34.38128642932952,"{0: 25, 1: 1, 2: 0, 3: 3, 4: 0}",1
60,False,"{'e': 0.12909944487358055, 'a': 0.5}",30,11,23.876322848847767,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'e': 0.12803687993289598, 'a': 0.5}",25,12,20.839721304412798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'e': 0.1270001270001905, 'a': 0.5}",35,0,-8.66796025135449,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
63,False,"{'e': 0.1259881576697424, 'a': 0.5}",20,12,-27.348776687189734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'e': 0.125, 'a': 0.5}",25,0,35.22884069050463,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'e': 0.12403473458920847, 'a': 0.5}",25,5,-37.8593009925087,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
66,False,"{'e': 0.12309149097933272, 'a': 0.5}",25,11,-4.047095010355984,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'e': 0.12216944435630522, 'a': 0.5}",20,0,-9.932630456430367,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
68,False,"{'e': 0.12126781251816648, 'a': 0.5}",20,0,23.0877721097395,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
69,False,"{'e': 0.1203858530857692, 'a': 0.5}",25,15,16.758418411908355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'e': 0.11952286093343936, 'a': 0.5}",20,0,-4.417310109866191,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
71,False,"{'e': 0.11867816581938533, 'a': 0.5}",20,0,8.341816925188414,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
72,False,"{'e': 0.11785113019775793, 'a': 0.5}",20,0,3.129133679260594,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
73,False,"{'e': 0.11704114719613057, 'a': 0.5}",20,12,14.337046429131902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'e': 0.11624763874381928, 'a': 0.5}",25,1,31.578280339878138,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'e': 0.11547005383792514, 'a': 0.5}",20,0,12.110953867330347,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'e': 0.11470786693528087, 'a': 0.5}",20,0,-78.90000069691528,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
77,False,"{'e': 0.11396057645963795, 'a': 0.5}",25,0,-141.08860278084222,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
78,False,"{'e': 0.11322770341445956, 'a': 0.5}",20,0,16.46265311038713,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'e': 0.1125087900926024, 'a': 0.5}",25,0,-44.32405385368704,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
80,False,"{'e': 0.11180339887498948, 'a': 0.5}",25,10,15.10125355339787,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.1111111111111111, 'a': 0.5}",25,0,19.876765907443307,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'e': 0.11043152607484653, 'a': 0.5}",30,4,-20.159749777807082,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'e': 0.10976425998969035, 'a': 0.5}",20,0,-18.202867239662737,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
84,False,"{'e': 0.1091089451179962, 'a': 0.5}",25,0,-21.96438794387657,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
85,False,"{'e': 0.10846522890932808, 'a': 0.5}",25,0,36.25555641977276,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'e': 0.10783277320343841, 'a': 0.5}",35,12,29.742617733676276,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.10721125348377948, 'a': 0.5}",35,25,11.244594937301745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.10660035817780521, 'a': 0.5}",25,0,33.80065264057339,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'e': 0.105999788000636, 'a': 0.5}",20,0,6.696995882327387,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'e': 0.10540925533894598, 'a': 0.5}",30,0,18.491486823199338,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
91,False,"{'e': 0.10482848367219183, 'a': 0.5}",25,17,2.3405638612985715,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'e': 0.10425720702853739, 'a': 0.5}",25,5,18.441134858172454,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.10369516947304253, 'a': 0.5}",25,12,-19.908653359539585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'e': 0.10314212462587934, 'a': 0.5}",20,16,6.771271200722315,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.10259783520851541, 'a': 0.5}",30,0,12.936485861942572,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
96,False,"{'e': 0.10206207261596577, 'a': 0.5}",25,14,11.501794614567899,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'e': 0.10153461651336192, 'a': 0.5}",25,0,-43.21148897722154,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
98,False,"{'e': 0.10101525445522107, 'a': 0.5}",20,10,12.742404990681171,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.10050378152592121, 'a': 0.5}",20,0,7.2631909902758895,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
100,False,"{'e': 0.1, 'a': 0.5}",20,0,-19.83526877759217,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
101,False,"{'e': 0.09950371902099892, 'a': 0.5}",20,14,-22.478800337515935,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'e': 0.09901475429766744, 'a': 0.5}",25,3,12.577915299850382,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'e': 0.09853292781642932, 'a': 0.5}",20,0,8.543508265812322,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
104,False,"{'e': 0.09805806756909202, 'a': 0.5}",20,12,14.418262672493436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
